OrderID,Date,Amount,Status,DiscountAmount
ORD1001,2026-08-20 22:55:00,22995.47,success,0.0
ORD1002,2026-08-20 19:24:00,18517.22,success,0.0
ORD1003,2026-08-21 02:35:00,14979.85,success,0.0
ORD1004,2026-08-21 00:07:00,19661.12,success,0.0
ORD1005,2026-08-20 20:44:00,15233.99,success,0.0
ORD1006,2026-08-21 00:54:00,2312.84,success,0.0
ORD1007,2026-08-20 22:21:00,19351.35,success,0.0
ORD1008,2026-08-21 00:18:00,20758.3,success,0.0
ORD1009,2026-08-21 03:54:00,19844.08,success,0.0
ORD1010,2026-08-21 06:30:00,22474.74,success,0.0
ORD1011,2026-08-20 21:15:00,24859.17,success,0.0
ORD1012,2026-08-21 05:35:00,22468.26,success,0.0
ORD1013,2026-08-20 23:55:00,8584.24,success,0.0
ORD1014,2026-08-21 04:43:00,17231.33,success,0.0
ORD1015,2026-08-20 23:36:00,1469.76,success,0.0
ORD1016,2026-08-20 20:29:00,9881.36,success,0.0
ORD1017,2026-08-20 20:40:00,941.23,success,0.0
ORD1018,2026-08-20 20:24:00,22217.71,success,0.0
ORD1019,2026-08-20 20:21:00,24077.67,success,0.0
ORD1020,2026-08-21 00:33:00,18181.92,success,0.0
ORD1021,2026-08-20 21:09:00,2128.18,success,0.0
ORD1022,2026-08-21 02:13:00,19415.44,success,0.0
ORD1023,2026-08-20 21:08:00,9538.74,success,0.0
ORD1024,2026-08-21 06:31:00,9905.65,success,0.0
ORD1025,2026-08-21 04:07:00,5305.21,success,0.0
ORD1026,2026-08-20 22:23:00,11840.58,success,0.0
ORD1027,2026-08-21 04:00:00,1704.72,success,0.0
ORD1028,2026-08-21 03:46:00,18619.25,success,0.0
ORD1029,2026-08-21 06:49:00,9491.12,success,0.0
ORD1030,2026-08-20 21:42:00,18990.84,success,0.0
ORD1031,2026-08-21 06:54:00,21050.32,success,0.0
ORD1032,2026-08-21 04:02:00,8572.13,success,0.0
ORD1033,2026-08-21 03:20:00,10582.41,success,0.0
ORD1034,2026-08-21 23:55:00,4527.91,success,0.0
ORD1035,2026-08-22 05:46:00,15336.46,success,0.0
ORD1036,2026-08-22 04:58:00,16431.39,success,0.0
ORD1037,2026-08-22 02:01:00,2444.73,success,0.0
ORD1038,2026-08-21 23:11:00,3025.94,success,0.0
ORD1039,2026-08-21 20:24:00,3203.88,success,0.0
ORD1040,2026-08-21 19:33:00,535.63,success,0.0
ORD1041,2026-08-22 05:18:00,2426.63,success,0.0
ORD1042,2026-08-22 01:09:00,596.53,success,0.0
ORD1043,2026-08-22 05:29:00,16073.95,success,0.0
ORD1044,2026-08-21 21:20:00,17006.31,success,0.0
ORD1045,2026-08-21 21:58:00,13775.35,success,0.0
ORD1046,2026-08-22 04:54:00,15104.47,success,0.0
ORD1047,2026-08-21 21:40:00,22285.69,success,0.0
ORD1048,2026-08-21 23:28:00,10525.96,success,0.0
ORD1049,2026-08-21 19:45:00,8859.01,success,0.0
ORD1050,2026-08-22 05:01:00,16986.35,success,0.0
ORD1051,2026-08-22 06:28:00,17929.11,success,0.0
ORD1052,2026-08-22 04:33:00,15994.42,success,0.0
ORD1053,2026-08-22 00:53:00,15330.2,success,0.0
ORD1054,2026-08-22 04:19:00,5865.74,success,0.0
ORD1055,2026-08-21 21:33:00,15472.01,success,0.0
ORD1056,2026-08-22 01:50:00,3480.4,success,0.0
ORD1057,2026-08-22 04:54:00,20385.7,success,0.0
ORD1058,2026-08-21 22:45:00,4081.43,success,0.0
ORD1059,2026-08-22 05:52:00,5549.52,success,0.0
ORD1060,2026-08-22 02:40:00,12683.14,success,0.0
ORD1061,2026-08-22 03:29:00,13155.5,success,0.0
ORD1062,2026-08-22 06:07:00,19391.25,success,0.0
ORD1063,2026-08-22 06:27:00,8123.22,success,0.0
ORD1064,2026-08-22 05:35:00,15372.45,success,0.0
ORD1065,2026-08-22 06:18:00,24294.52,success,0.0
ORD1066,2026-08-21 23:01:00,691.5,success,0.0
ORD1067,2026-08-23 01:31:00,18393.32,success,0.0
ORD1068,2026-08-23 00:57:00,7074.96,success,0.0
ORD1069,2026-08-23 04:50:00,21008.83,success,0.0
ORD1070,2026-08-23 06:18:00,21217.14,success,0.0
ORD1071,2026-08-22 21:47:00,12736.34,success,0.0
ORD1072,2026-08-22 20:30:00,16067.66,success,0.0
ORD1073,2026-08-22 20:13:00,20412.02,success,0.0
ORD1074,2026-08-23 00:45:00,20879.34,success,0.0
ORD1075,2026-08-22 21:40:00,18502.59,success,0.0
ORD1076,2026-08-23 05:52:00,24778.66,success,0.0
ORD1077,2026-08-23 05:37:00,7642.83,success,0.0
ORD1078,2026-08-22 21:16:00,3820.89,success,0.0
